prostor,uid,št. aliasov,št. sklicev,opis
"Right ""closed-ray"" topology on $[0,1]\cap\mathbb Q$",S000150,0,0,"The set $X=[0,1]\cap\mathbb Q$ with its order induced from $\mathbb R$, and the topology generated by a base of open sets consisting of the intervals $[x,\rightarrow)$ for $x\in X$.

The open sets are exactly the [upward-closed sets](https://en.wikipedia.org/wiki/Upper_set) in the ordered set $(X,\le)$.  That includes ""closed rays"" $[x,\rightarrow)$ and ""open rays"" $(x,\rightarrow)$ for $x\in X$, as well as sets of the form $(\theta,1]\cap\mathbb Q$ for an irrational $\theta\in(0,1)$.

The closed sets are the downward-closed sets in $(X,\le)$.

Compare with the coarser topology of {S151}."
"Right ""open-ray"" topology on $[0,1]\cap\mathbb Q$",S000151,0,0,"The set $X=[0,1]\cap\mathbb Q$ with its order induced from $\mathbb R$, and the topology generated by a base of open sets consisting of $X$ and all the intervals $(x,\rightarrow)$ for $x\in X$.

The additional open sets are the sets of the form $(\theta,1]\cap\mathbb Q$ for an irrational $\theta\in(0,1)$.
Note that the ""closed rays"" $[x,\rightarrow)$ for $x\in X\setminus\{0\}$ are not open sets.

Compare with the finer topology of {S150}."
"Poset $\{-1,0_a,0_b\}\cup\{1/n\}_{n=1}^\infty$ with Alexandrov topology",S000152,0,2,"Consider the set $\{1/n\}_{n=1}^\infty$ with its usual order. Let,

$\quad X=\{-1,0_a,0_b\}\cup\{1/n\}_{n=1}^\infty$

where either of the zeros is smaller than all $1/n$, the two zeros are incomparable, and $-1$ is smaller than everything else. Then equip $X$ with the Alexandrov topology associated to the partial order defined above; that is, the open sets are the upper sets for $\le$.

This space is described in part 2 of {{mathse:5007860}}."
Open long ray,S000153,1,2,"The space obtained by taking $Y=\omega_1 \times [0,1)$ with its lexicographic order topology ({S38}) and removing the first element $(0,0)$.

The resulting space $X$ is an open subspace of $Y$ with the subspace topology.  This is the same as the order topology on $X$, since $X$ is order-convex in $Y$ (see Theorem 16.4 in {{zb:0951.54001}})."
Fort space on the real numbers,S000154,2,2,"Let $X=\mathbb R\cup\{\infty\}$. Every point of $\mathbb R$ is isolated and the open neighborhoods of the point $\infty$ are the cofinite subsets of $X$ containing that point.

This space is the one-point compactification of an uncountable discrete space (compare with {S22} and {S20}).

Defined as counterexample #24 (""Uncountable Fort Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Fortissimo space of size $\aleph_1$,S000155,0,2,"Let $X$ be a set of cardinality $\aleph_1$ with a distinguished point $p\in X$.
Every point not equal to $p$ is isolated and the open neighborhoods of $p$ are the cocountable subsets of $X$ containing that point.

This space is the one-point Lindelöfication of a discrete space of size $\aleph_1$.

If (CH) $2^{\aleph_0}=\aleph_1$ holds, this space is homeomorphic to {S22}.
Compare also with {S157}.

For a general $X$ with unspecified uncountable cardinality,
see counterexample #25 (""Fortissimo Space"") in {{doi:10.1007/978-1-4612-6290-9}}."
Arens space,S000156,1,2,"Let $X=\omega\cup\{\infty\}$ be the one-point compactification of a
countable discrete space. Arens space $S_2$ is the minimal topology
on $(X\times\omega)\cup\{\infty'\}$ where
$(\{\infty\}\times\omega)\cup\{\infty'\}$ is homeomorphic to $X$.

This space was originally defined by Richard Arens in {{mr:0037500}}.

The subspace $(\omega\times\omega)\cup\{\infty'\}$ of the Arens space is homeomorphic to {S23}, as mentioned in Examples 2.10 and 3.10 of {{mr:3269014}}."
Fortissimo space of size $\aleph_2$,S000157,0,2,"Let $X$ be a set of cardinality $\aleph_2$ with a distinguished point $p\in X$.
Every point not equal to $p$ is isolated and the open neighborhoods of $p$ are the cocountable subsets of $X$ containing that point.

This space is the one-point Lindelöfication of a discrete space of size $\aleph_2$.

If $2^{\aleph_0}=\aleph_2$ holds, this space is homeomorphic to {S22}.
Compare also with {S155}.

For a general $X$ with unspecified uncountable cardinality,
see counterexample #25 (""Fortissimo Space"") in {{doi:10.1007/978-1-4612-6290-9}}."
"Unit interval $[0,1]$",S000158,0,1,"The subspace $I=[0,1]=\{t\in \mathbb R : 0\leq t \leq 1\}$ of {S25} $\mathbb{R}$."
"Right ""open-ray"" topology on $[0,1]$",S000159,0,1,"$X$ has underlying set $[0,1]$ and the open sets are exactly $X$ and $(a,1]$ for $0 \leq a \leq 1$.

This space is used in part 3 of {{mathse:5007860}}."
"Right ""open-ray"" topology on $\omega+1$",S000160,0,0,"$X$ has underlying set $\omega+1$. The open sets are exactly $X$ and $(a, \omega]$ for $a \in X$."
Van Douwen's anti-Hausdorff Fréchet space,S000161,0,1,"The topology on \(\omega\) constructed by Eric K. van Douwen in Section 5 of
{{doi:10.1016/0166-8641(93)90147-6}}."
The Singleton,S000162,1,1,"\(X=\{x\}\) with its only valid topology \(\{\emptyset,X\}\)."
The Empty Space,S000163,0,1,\(X=\emptyset\) with its only valid topology \(\{\emptyset\}\).
Sum of singleton and two-point indiscrete space,S000164,0,0,"The space \(X=\{a,b,c\}\) with the topology \(\{\emptyset,\{a,b\},\{c\},X\}\), that is,
the topological sum of {S162} and {S4}."
One-point compactification of the Arens-Fort space,S000165,0,1,"The one-point compactification $X$ of {S23}.

See {{mo:435257}}."
Left ray topology on $\omega+1$,S000166,0,1,"$X$ has underlying set $\omega+1$. The open sets are exactly $X$ and $[0,a)$ for $a \in X$. Equivalently, the open sets are exactly downwards closed subsets of $X$. This is the Alexandrov topology for the reverse ordering on $\omega+1$."
"Right ""open-ray"" topology on $\omega+1+\omega^\ast$",S000167,0,0,"$X$ has underlying totally ordered set $(\omega+1)+\omega^\ast$, where the second $+$ is concatenation, $\omega+1$ is equipped with its usual order as an ordinal, and $\omega^\ast$ is $\omega$ with the reverse order. The open sets are exactly $X$ and $(a,\to)$ for $a \in X$."
Real projective plane $\mathbb RP^2$,S000168,1,2,"The quotient of {S169} which identifies its antipodal points.

This space is homeomorphic to:
- $\left( \mathbb R^3 \setminus \{0\} \right) / \sim$, where $x \sim y$ if and only if $x = c y$ for some nonzero real number $c$.
- The space of $1$-dimensional subspaces of the real vector space $\mathbb{R}^3$, $P(\mathbb{R}^3)$, with the quotient topology induced by the map $\mathbb R^3 \setminus \{0\} \to P(\mathbb{R}^3)$ which sends a vector to its span.
- The quotient of $\left[ -1, 1 \right]^2$ identifying $(t, 1)$ with $(-t, -1)$ and identifying $(1, t)$ with $(-1, -t)$, for each $t$.

Defined in Example 3.51 and Proposition 6.2 of {{mr:2766102}}."
Sphere $S^2$,S000169,1,1,"The subspace $\{x \in \mathbb{R}^3: \|x\| = 1\}$ of the Euclidean space $\mathbb{R}^3$
consisting of points with distance 1 from the origin.

This space is homeomorphic to:
- The one-point compactification of {S176},
- The suspension of {S170}, i.e., the quotient of $S^1 \times [0,1]$ where $S^1 \times \{0\}$ is identified to a
single point and $S^1 \times \{1\}$ is identified to a single point."
Circle $S^1$,S000170,1,1,"The subspace $\{x \in \mathbb{R}^2: \|x\| = 1\}$ of
{S176} consisting of points with distance $1$ from the origin.

This space is homeomorphic to:
- The one-point compactification of {S25},
- The quotient of the interval $[0,1]$ identifying its endpoints."
Brian's Example,S000171,0,1,"In {{mo:416331}} Will Brian provides an example in ZFC for an uncountable, Hausdorff,
first-countable, scattered, Lindelöf space."
Kannan-Rajagopalan-Hart Space,S000172,0,2,"In {{mo:434266}} KP Hart shows that an example of Kannan and Rajagopalan is 
constructable in ZFC."
Product of long ray and continuum power of a closed interval,S000173,0,1,"Product of {S000038} and {S000103}. Used in
{{mathse:3145712}} to construct a {P000130}, {P000003}, and {P000036}
but not {P000013} space."
Pol's $T_6$ non-paracompact space,S000174,0,1,"$X = \omega_1^\omega$ equipped with the topology generated by the basis $U \cap \xi^\omega$ where $\xi < \omega_1$ and $U \subset \omega_1^\omega$ is open in the product topology, where $\omega_1$ is equipped with the discrete topology.

Constructed by R. Pol in {{doi:10.4064/FM-97-2-53-55}} to obtain an example of a
{P67}, {P82}, and non-{P30} space."
Radial plane,S000175,1,4,"Sets $U$ are open provided for every point $x\in U$ and line $L$ passing through $x$,
there exists an open subinterval $S\subseteq L$ with $x\in S\subseteq U$."
Euclidean Plane $\mathbb R^2$,S000176,0,1,"The product topology on $\mathbb R\times \mathbb R$.

See {{zb:1052.54001}}."
Misra's space $E_0$,S000177,0,1,"The space $E_0$ as defined in {{doi:10.1016/0016-660X(72)90026-8}}, Example 3.1.  This provides an example of {P147} that is {P3} and {P10}, but not {P4}."
Misra's subspace of $E_0$,S000178,0,1,The subspace of {S177} (Example 3.1 in {{doi:10.1016/0016-660X(72)90026-8}}) obtained by deleting all points $b_{\alpha \beta}$ and $b$.  This provides an example of {P147} that is {P4} and not {P10}.
The Peng-Wu Group,S000179,0,1,"A certain subgroup of $\mathbb R^{\omega_1}$ generated by a subset $\mathscr L \subset \mathbb R^{\omega_1}$ of cardinality $\omega_1$, viewed as a topological group with coordinate-wise addition and the product topology. This space was constructed with the name $grp(\mathscr L)$ in Section 4 of {{doi:10.1016/j.aim.2017.11.021}} to produce a {P18} topological group ({P87}) whose square is not {P18}."
Solomon's scattered space,S000180,0,1,"A space constructed by R. C. Solomon in {{doi:10.1112/blms/8.3.239}} to obtain a {P6} {P51} space that
is not {P50}."
Countable $\sigma$-product $\sigma(\omega_1+1)^\omega$,S000181,0,3,"The subspace of the countable product $(\omega_1+1)^\omega$ of {S36},
consisting of all functions $\omega \to (\omega_1+1)$ with finite support,
that is, those functions which are non-zero on only finitely many inputs.
Discussed at {{mathse:4736740}}."
Disjoint union of continuum many copies of $\mathbb{Q}$,S000182,0,1,"The disjoint union $X = \bigsqcup_{i\in I}\mathbb{Q}$, $|I| = \mathfrak{c}$, of continuum many copies of {S27}.

See {{mathse:3947741}}."
KP Hart's non-sequentially discrete modified cocountable topology,S000183,0,1,"Let $Y$ be {S17} and $Z$ be {S20}. The space $X$ is the disjoint union $Y\cup Z$ with the minimal topology such that $Z$ is a closed subspace of $X$, and countable
subsets of $Y$ are all closed in $X$.

This space was constructed by K.P. Hart in {{mo:452903}} to demonstrate an
example of a space which is {P49} and {P99}, but not {P167}."
Sum of a pair of two-point indiscrete spaces,S000184,0,0,"$X=\{0,1,2,3\}$ with the topology
$\{\emptyset,\{0,1\},\{2,3\},X\}$, so
$\{0,1\}$ and $\{2,3\}$ are each a copy of {S4}."
One-point compactification of the metric fan,S000185,0,0,"Consider
the set $\omega^2\cup\{\infty_x,\infty_y\}$ with points of
$\omega^2$ isolated, neighborhoods of $\infty_x$ containing
all but finitely-many columns, and neighborhoods of $\infty_y$
containing all but finitely-many rows.

Equivalently, the one-point compactification of {S202}."
Converging sequence of non-Hausdorff spaces,S000186,0,0,"Let $Y$ be a copy of {S97}. This space is $X=(Y\times\omega)\cup\{\infty\}$.
The subspace $Y\times\omega$ is open with the product topology, and basic
neighborhoods of $\infty$ are of the form $(Y\times(\omega\setminus n))\cup\{\infty\}$."
Right ray topology on a three-point set,S000187,1,1,"Let $X = \{0,1,2\}$ with open right rays $\{\{0,1,2\}, \{1,2\}, \{2\}, \emptyset\}$.
(Equivalently could use the left rays $\{\emptyset, \{0\}, \{0,1\}, \{0,1,2\}\}$ instead.)

Compare with {S42}, counterexample #50 (""Right Order Topology on $\mathbb R$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Sum of singleton and Sierpinski space,S000188,0,0,"Let $X = \{0,1,2\}$ with open sets $\{\emptyset, \{0\}, \{1\}, \{0,1\}, \{1,2\}, \{0,1,2\} \}$,
that is, the topological sum of {S162} with pointset $\{0\}$ and {S10} with pointset $\{1,2\}$."
Discrete Topology on a Three-Point Set,S000189,1,2,"Let $X=3=\{0,1,2\}$ be a space containing three points and
let all subsets of $X$ be open.

See counterexample #1 (""Finite Discrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Indiscrete Topology on a Three-Point Set,S000190,0,2,"Let $X=3=\{0,1,2\}$ be a space containing three points and
let only the sets $X$ and $\emptyset$ be open.

See counterexample #4 (""Indiscrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Dieudonné plank,S000191,0,0,"The product space $X=Y\times Z$ 
where $Y=[0,\omega_1]$ is given the topology with points of $[0,\omega_1)$
isolated and neighborhoods of $\omega_1$ cocountable,
and $Z=[0,\omega]$ is given the topology with points of $[0,\omega)$
isolated and neighborhoods of $\omega$ cofinite.

The space $X$ has the same underlying set as {S78}, but with a finer topology.

Note that ""Dieudonné plank"" is also used to refer to {S87}."
Modified telophase topology,S000192,1,1,"A refinement of the topology defined for {S65}. Let $X=[0,\infty)\cup\{\infty_E,\infty_D\}$,
$E=2\mathbb N=\{2n:n\in\mathbb N \}$, and $D=2\mathbb N+1=\{2n+1:n\in\mathbb N\}$.
Then points of $[0,\infty)$ have their usual neighborhoods (in
the sense of {S25}), $\infty_E$ has basic neighborhoods of the form
$(a,\infty)\setminus E$, and $\infty_D$ has basic neighorhoods of the form
$(a,\infty)\setminus D$.

Constructed by M W in {{mo:460346}}."
Indiscrete Topology on a Countably Infinite Set,S000193,0,2,"Let $X=\omega=\{0,1,2,\dots\}$ be the space containing a countably infinite
number of points and let only the sets $X$ and $\emptyset$ be open.

See counterexample #4 (""Indiscrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Indiscrete Topology on the Real Numbers,S000194,0,2,"Let $X=\mathbb R$ be the set of all real numbers,
and let only the sets $X$ and $\emptyset$ be open.

See counterexample #4 (""Indiscrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Join of cofinite and left-ray topologies on $\omega_1$,S000195,0,2,"The set $\omega_1$ with topology equal to the join of the cofinite topology and left ray topology in the [lattice of topologies](https://en.wikipedia.org/wiki/Lattice_of_topologies) on $\omega_1$. This topology is generated by the sets of the form $\alpha\setminus F=[0,\alpha)\setminus F$ for $\alpha<\omega_1$ and $F\subseteq\omega_1$ finite."
Long circle,S000196,1,2,"The quotient of {S39} identifying its initial and
final points."
Mary Ellen Rudin's nonmetrizable manifold,S000197,0,1,"The example constructed in section 1 of {{doi:10.1016/0166-8641(90)90099-N}} that
is {P7}, {P26}, {P123}, but not {P53}."
Disjoint union of the reals and a singleton,S000198,0,0,The disjoint union $X=\mathbb R\sqcup \{\star\}$ of {S25} and {S162}.
Left ray topology on $\omega$,S000199,0,0,"$\omega$ with the topology of left rays
$\{\omega\}\cup\{(\leftarrow,n):n<\omega\} = \{\emptyset,\omega\}\cup\{(\leftarrow,n]:n<\omega\}$."
Right ray topology on $\omega$,S000200,0,0,"$\omega$ with the topology of right rays
$\{\emptyset,\omega\}\cup\{(n,\rightarrow):n<\omega\} = \{\emptyset\}\cup\{[n,\rightarrow):n<\omega\}$."
Infinite earring,S000201,2,4,"The subspace of {S176} defined by

$\quad X=\bigcup_{n=1}^{\infty}\left\{(x,y)\in\mathbb{R}^2:\left(x-\frac{1}{n}\right)^2+y^2=\left(\frac{1}{n}\right)^2\right\}$

that is, the union of circles of radius $\frac{1}{n}$ centered at $(\frac{1}{n},0)$ for positive
integers $n$.

Not to be confused with {S139}, which has a finer topology.

Defined as ""infinite earring"" in section 71 of {{zb:0951.54001}}; usually known in the literature as ""Hawaiian earring"".
Appears as Example 1.25 in {{zb:1044.55001}} (available [here](https://pi.math.cornell.edu/~hatcher/AT/ATpage.html)) under the name ""Shrinking wedge of circles""; however, note that it is not actually an example of a ""wedge sum"" as defined in e.g. {{wikipedia:Wedge_sum}} or {{doi:10.1007/978-1-4612-4576-6}}."
Metric fan with $\omega$-many spines,S000202,0,1,"The subspace of {S176} defined by
$X=\{\langle 0,0\rangle\}\cup\{\langle \frac{1}{m},\frac{1}{mn} \rangle :m,n\in\mathbb Z^+\}$

Equivalently, a classical special case of the filter fans defined in
{{zb:1339.54022}}: the set $X=\{\infty\}\cup\omega^2$ with $\omega^2$ discrete and neighborhoods of $\infty$ containing all but finitely-many rows of $\omega^2$.

Compare with the finer topology of {S131}."
"Three-point set with the basis $\{\{0\},X\}$",S000203,0,0,"$X=\{0,1,2\}$ with open sets $\{\emptyset,\{0\},X\}$."
"Three-point set with the basis $\{\{0,1\},X\}$",S000204,0,0,"$X=\{0,1,2\}$ with open sets $\{\emptyset,\{0,1\},X\}$."
Warsaw circle,S000205,0,2,"The set $X=\{(x, \sin\frac{1}{x}):x \in (0,1]\} \cup \{(0,y):y \in [-2,1]\} \cup \{(x,-2):x\in[0,1]\} \cup \{(1,y):y \in [-2,\sin 1]\}$ with the subspace topology inherited from $\mathbb{R}^2$.

It consists of {S114} together with an extra arc joining its rightmost point to the point $(0,-1)$.
See {{wikipedia:Warsaw_circle}} or section 3 of {{doi:10.1016/j.topol.2013.07.001}}

Note: There are a few closely related but non-isomorphic variants of the *Warsaw circle*.
The description chosen here seems to be the most common."
Deleted Sequence of Intervals Topology,S000206,0,1,"David Gao's example of a {P112} {P10} space that is not {P11},
as constructed in {{mathse:4996886}}.

The underlying set is $\mathbb{R}$. Let $A = \bigcup_{n=1}^\infty [\frac{2}{3^n},\frac{1}{3^{n-1}}]$. The topology is generated by open sets in {S25} and $\mathbb{R} \setminus A$. The construction is similar to
that of {S56}."
Cohen's modified product $\omega_1\times(\omega_1+1)$,S000207,0,2,"The product of {S35} with {S36},
modified by declaring points of $\omega_1^2$ isolated.
Note that each point $\langle \alpha,\omega_1\rangle$ has a local basis of sets of the form $(\beta,\alpha]\times(\gamma,\omega_1]$ for $\beta<\alpha,\gamma<\omega_1$.

Constructed by Cohen in {{zb:0046.16403}}
(<http://gallica.bnf.fr/ark:/12148/bpt6k3186w/f290.image>)
to show that {P207}
is strictly stronger than {P88}.
See {{mathse:5004796}} for details in English."
Circle with two origins,S000209,0,1,"Choose a point $0 \in S^1$ to be called the ""origin"", and replace $0$ with two origins $0_1$ and $0_2$. Basic open neighborhoods of a point $x \neq 0$ are Euclidean open neighborhoods of $x$ not containing $0$. Basic open neighborhoods of each origin $0_i$ are of the form $(U\setminus\{0\})\cup\{0_i\}$ with $U$ a Euclidean open neighborhood of $0$.

Let $\{1, 2\}$ have the discrete topology. $X$ is homeomorphic to the quotient space of $S^1 \times \{1, 2\}$ obtained by identifying $\langle \theta, 1 \rangle$ and $\langle \theta, 2 \rangle$ exactly when $\theta$ is not the ""origin"" point.

$X$ is homeomorphic to the Alexandroff one-point compactification of {S83}."
"Interval $[0,1)$",S000210,0,0,"The subspace $[0,1)=\{t\in \mathbb R : 0\leq t < 1\}$ of {S25}."
"Lexicographic Hilbert cube $[0,1]^\omega$",S000212,0,1,"The space $X=[0,1]^\omega$ ordered lexicographically and with the corresponding order topology."
Supercontinuum power of a countable discrete space,S001103,1,1,"The product topology on \(\omega^{2^{\mathfrak c}}\).

Defined more generally as counterexample #103
(""Uncountable Products of \(\mathbb{Z}^+\)"")
in {{doi:10.1007/978-1-4612-6290-9}}."
